         216826 function calls (215513 primitive calls) in 714.843 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1837(dtype)
      213    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:647(__init__)
        1    0.002    0.002    0.034    0.034 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_base.py:973(tocsr)
      202    0.002    0.000    0.011    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:1004(<genexpr>)
       15    0.002    0.000    0.315    0.021 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:495(_validate_data)
      500    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:192(<listcomp>)
       34    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:2025(new_block)
     4100    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
      300    0.002    0.000  702.024    2.340 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:206(apply_async)
      600    0.002    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:46(set_config)
        3    0.002    0.001    0.002    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\logger.py:39(short_format_time)
      460    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:398(parent)
        1    0.001    0.001    0.001    0.001 {built-in method numpy.arange}
    11000    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2577(kind)
      505    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:1001(is_classifier)
     6000    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      114    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1587(_is_dtype_type)
        2    0.001    0.001    0.001    0.001 {method 'cumsum' of 'numpy.ndarray' objects}
      100    0.001    0.000    0.034    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_base.py:51(_set_random_states)
      753    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:28(get_config)
      153    0.001    0.000    0.376    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:870(_safe_accumulator_op)
      414    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
      158    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      200    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\random.py:791(getrandbits)
        5    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
      303    0.001    0.000    0.010    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:86(__init__)
        1    0.001    0.001    0.013    0.013 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:463(_init_dict)
      300    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:245(__init__)
        5    0.001    0.000    0.004    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:130(filterwarnings)
      814    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     1959    0.001    0.000    0.010    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\abc.py:117(__instancecheck__)
      207    0.001    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:429(__enter__)
        1    0.001    0.001  656.079  656.079 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:301(fit)
        2    0.001    0.001    0.001    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:1338(current_thread)
       36    0.001    0.000    0.102    0.003 <__array_function__ internals>:177(average)
      607    0.001    0.000    0.061    0.000 {built-in method builtins.next}
        1    0.001    0.001    0.110    0.110 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_base.py:592(_mul_multivector)
      127    0.001    0.000    0.208    0.002 <__array_function__ internals>:177(copyto)
       40    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:239(__init__)
      108    0.001    0.000    0.212    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:149(ones)
       39    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:7082(maybe_extract_name)
      300    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:222(unregister)
      101    0.001    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:480(<genexpr>)
      158    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:458(__enter__)
      153    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numerictypes.py:356(issubdtype)
        1    0.001    0.001    0.001    0.001 {built-in method pandas._libs.missing.isnaobj}
      101    0.001    0.000    0.175    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1670(_check_sample_weight)
      100    0.001    0.000    0.097    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_base.py:157(_make_estimator)
     6121    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      100    0.001    0.000    1.966    0.020 <__array_function__ internals>:177(bincount)
        5    0.001    0.000    0.021    0.004 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:672(_with_infer)
        2    0.001    0.001    0.002    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:185(in_main_thread)
       34    0.001    0.000    0.039    0.001 {method 'mean' of 'numpy.ndarray' objects}
      300    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:184(__init__)
       17    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:2473(is_categorical)
      300    0.001    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\fixes.py:110(__init__)
      500    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:494(unwrap)
      903    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:256(__enter__)
       13    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:5525(__finalize__)
      158    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:181(_add_filter)
1353/1349    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\abc.py:121(__subclasscheck__)
      903    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:259(__exit__)
      200    0.001    0.000    0.004    0.000 <__array_function__ internals>:177(concatenate)
      296    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
       39    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.003    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:4727(reindex)
       36    0.001    0.000    0.022    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:6987(ensure_index)
        4    0.001    0.000    0.317    0.079 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\__init__.py:188(_pandas_indexing)
