         210351 function calls (209058 primitive calls) in 557.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:192(<listcomp>)
      115    0.002    0.000    0.229    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:870(_safe_accumulator_op)
      414    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:131(geterr)
    11000    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2577(kind)
      416    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:398(parent)
      508    0.002    0.000    0.002    0.000 {built-in method builtins.max}
      200    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:647(__init__)
     4100    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
      600    0.002    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1375(check_scalar)
        8    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
      300    0.002    0.000    0.002    0.000 {method 'append' of 'collections.deque' objects}
      300    0.002    0.000  556.549    1.855 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:206(apply_async)
      600    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:46(set_config)
       11    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:937(dtype)
      100    0.002    0.000    0.044    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_base.py:51(_set_random_states)
      122    0.002    0.000    0.217    0.002 <__array_function__ internals>:177(copyto)
     11/7    0.002    0.000    0.013    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:397(__new__)
        4    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexing.py:130(iloc)
        8    0.002    0.000    0.007    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:162(_mean)
       34    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:2025(new_block)
      500    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:1001(is_classifier)
       11    0.001    0.000    0.011    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\arraysetops.py:138(unique)
        1    0.001    0.001    0.012    0.012 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:5768(_get_indexer_strict)
      122    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:458(__enter__)
     1315    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:20(_get_threadlocal_config)
      303    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:86(__init__)
